lake,year,ct
nhdhr_120020210,2006,Low consumption
nhdhr_120020210,2007,Low consumption
nhdhr_120020210,2008,Low consumption
nhdhr_120020210,2009,Low consumption
nhdhr_120020210,2010,Low consumption
nhdhr_120020210,2011,Low consumption
nhdhr_120020210,2012,Low consumption
nhdhr_120020210,2013,Low consumption
nhdhr_120020210,2014,Low consumption
nhdhr_120020210,2015,Low consumption
nhdhr_120020210,2016,Low consumption
nhdhr_120020210,2017,Low consumption
nhdhr_120020210,2018,Heavy consumption
nhdhr_120020211,1979,Heavy consumption
nhdhr_120020211,1980,Heavy consumption
nhdhr_120020211,1981,Heavy consumption
nhdhr_120020211,1982,Heavy consumption
nhdhr_120020211,1983,Heavy consumption
nhdhr_120020211,1984,Heavy consumption
nhdhr_120020211,1985,Heavy consumption
nhdhr_120020211,1986,Heavy consumption
nhdhr_120020211,1987,Heavy consumption
nhdhr_120020211,1988,Heavy consumption
nhdhr_120020211,1989,Heavy consumption
nhdhr_120020211,1990,Heavy consumption
nhdhr_120020211,1991,Heavy consumption
nhdhr_120020211,1992,Heavy consumption
nhdhr_120020211,1993,Heavy consumption
nhdhr_120020211,1994,Heavy consumption
nhdhr_120020211,1995,Heavy consumption
nhdhr_120020211,1996,Heavy consumption
nhdhr_120020211,1997,Heavy consumption
nhdhr_120020211,1998,Heavy consumption
nhdhr_120020211,1999,Heavy consumption
nhdhr_120020211,2000,Heavy consumption
nhdhr_120020211,2001,Heavy consumption
nhdhr_120020211,2002,Heavy consumption
nhdhr_120020211,2003,Heavy consumption
nhdhr_120020211,2004,Heavy consumption
nhdhr_120020211,2005,Heavy consumption
nhdhr_120020211,2006,Heavy consumption
nhdhr_120020211,2007,Heavy consumption
nhdhr_120020211,2008,Heavy consumption
nhdhr_120020211,2009,Heavy consumption
nhdhr_120020211,2010,Heavy consumption
nhdhr_120020211,2011,Heavy consumption
nhdhr_120020211,2012,Heavy consumption
nhdhr_120020211,2013,Heavy consumption
nhdhr_120020211,2014,Heavy consumption
nhdhr_120020211,2015,Heavy consumption
nhdhr_120020211,2016,Heavy consumption
nhdhr_120020211,2017,Heavy consumption
nhdhr_120020211,2018,Heavy consumption
nhdhr_120020212,1979,Heavy consumption
nhdhr_120020212,1980,Heavy consumption
nhdhr_120020212,1981,Heavy consumption
nhdhr_120020212,1982,Heavy consumption
nhdhr_120020212,1983,Heavy consumption
nhdhr_120020212,1984,Heavy consumption
nhdhr_120020212,1985,Heavy consumption
nhdhr_120020212,1986,Heavy consumption
nhdhr_120020212,1987,Heavy consumption
nhdhr_120020212,1988,Heavy consumption
nhdhr_120020212,1989,Heavy consumption
nhdhr_120020212,1990,Heavy consumption
nhdhr_120020212,1991,Heavy consumption
nhdhr_120020212,1992,Heavy consumption
nhdhr_120020212,1993,Heavy consumption
nhdhr_120020212,1994,Heavy consumption
nhdhr_120020212,1995,Heavy consumption
nhdhr_120020212,1996,Heavy consumption
nhdhr_120020212,1997,Heavy consumption
nhdhr_120020212,1998,Heavy consumption
nhdhr_120020212,1999,Heavy consumption
nhdhr_120020212,2000,Heavy consumption
nhdhr_120020212,2001,Heavy consumption
nhdhr_120020212,2002,Heavy consumption
nhdhr_120020212,2003,Heavy consumption
nhdhr_120020212,2004,Heavy consumption
nhdhr_120020212,2005,Heavy consumption
nhdhr_120020212,2006,Heavy consumption
nhdhr_120020212,2007,Heavy consumption
nhdhr_120020212,2008,Heavy consumption
nhdhr_120020212,2009,Heavy consumption
nhdhr_120020212,2010,Heavy consumption
nhdhr_120020212,2011,Heavy consumption
nhdhr_120020212,2012,Heavy consumption
nhdhr_120020212,2013,Heavy consumption
nhdhr_120020212,2014,Heavy consumption
nhdhr_120020212,2015,Heavy consumption
nhdhr_120020212,2016,Heavy consumption
nhdhr_120020212,2017,Heavy consumption
nhdhr_120020212,2018,Heavy consumption
nhdhr_120020213,1979,Heavy consumption
nhdhr_120020213,1980,Heavy consumption
nhdhr_120020213,1981,Heavy consumption
nhdhr_120020213,1982,Heavy consumption
nhdhr_120020213,1983,Heavy consumption
nhdhr_120020213,1984,Heavy consumption
nhdhr_120020213,1985,Heavy consumption
nhdhr_120020213,1986,Heavy consumption
nhdhr_120020213,1987,Heavy consumption
nhdhr_120020213,1988,Heavy consumption
nhdhr_120020213,1989,Heavy consumption
nhdhr_120020213,1990,Heavy consumption
nhdhr_120020213,1991,Heavy consumption
nhdhr_120020213,1992,Heavy consumption
nhdhr_120020213,1993,Heavy consumption
nhdhr_120020213,1994,Heavy consumption
nhdhr_120020213,1995,Heavy consumption
nhdhr_120020213,1996,Heavy consumption
nhdhr_120020213,1997,Heavy consumption
nhdhr_120020213,1998,Heavy consumption
nhdhr_120020213,1999,Heavy consumption
nhdhr_120020213,2000,Heavy consumption
nhdhr_120020213,2001,Heavy consumption
nhdhr_120020213,2002,Heavy consumption
nhdhr_120020213,2003,Heavy consumption
nhdhr_120020213,2004,Heavy consumption
nhdhr_120020213,2005,Heavy consumption
nhdhr_120020213,2006,Heavy consumption
nhdhr_120020213,2007,Heavy consumption
nhdhr_120020213,2008,Heavy consumption
nhdhr_120020213,2009,Heavy consumption
nhdhr_120020213,2010,Heavy consumption
nhdhr_120020213,2011,Heavy consumption
nhdhr_120020213,2012,Heavy consumption
nhdhr_120020213,2013,Heavy consumption
nhdhr_120020213,2014,Heavy consumption
nhdhr_120020213,2015,Heavy consumption
nhdhr_120020213,2016,Heavy consumption
nhdhr_120020213,2017,Heavy consumption
nhdhr_120020213,2018,Heavy consumption
nhdhr_120020218,1979,Heavy consumption
nhdhr_120020218,1980,Heavy consumption
nhdhr_120020218,1981,Heavy consumption
nhdhr_120020218,1982,Heavy consumption
nhdhr_120020218,1983,Heavy consumption
nhdhr_120020218,1984,Heavy consumption
nhdhr_120020218,1985,Heavy consumption
nhdhr_120020218,1986,Heavy consumption
nhdhr_120020218,1987,Heavy consumption
nhdhr_120020218,1988,Heavy consumption
nhdhr_120020218,1989,Heavy consumption
nhdhr_120020218,1990,Heavy consumption
nhdhr_120020218,1991,Heavy consumption
nhdhr_120020218,1992,Heavy consumption
nhdhr_120020218,1993,Heavy consumption
nhdhr_120020218,1994,Heavy consumption
nhdhr_120020218,1995,Heavy consumption
nhdhr_120020218,1996,Heavy consumption
nhdhr_120020218,1997,Heavy consumption
nhdhr_120020218,1998,Heavy consumption
nhdhr_120020218,1999,Heavy consumption
nhdhr_120020218,2000,Heavy consumption
nhdhr_120020218,2001,Heavy consumption
nhdhr_120020218,2002,Heavy consumption
nhdhr_120020218,2003,Heavy consumption
nhdhr_120020218,2004,Heavy consumption
nhdhr_120020218,2005,Heavy consumption
nhdhr_120020218,2006,Heavy consumption
nhdhr_120020218,2007,Heavy consumption
nhdhr_120020218,2008,Heavy consumption
nhdhr_120020218,2009,Heavy consumption
nhdhr_120020218,2010,Heavy consumption
nhdhr_120020218,2011,Heavy consumption
nhdhr_120020218,2012,Heavy consumption
nhdhr_120020218,2013,Heavy consumption
nhdhr_120020218,2014,Heavy consumption
nhdhr_120020218,2015,Heavy consumption
nhdhr_120020218,2016,Heavy consumption
nhdhr_120020218,2017,Heavy consumption
nhdhr_120020218,2018,Heavy consumption
nhdhr_120020220,1979,Heavy consumption
nhdhr_120020220,1980,Heavy consumption
nhdhr_120020220,1981,Heavy consumption
nhdhr_120020220,1982,Heavy consumption
nhdhr_120020220,1983,Heavy consumption
nhdhr_120020220,1984,Heavy consumption
nhdhr_120020220,1985,Heavy consumption
nhdhr_120020220,1986,Heavy consumption
nhdhr_120020220,1987,Heavy consumption
nhdhr_120020220,1988,Heavy consumption
nhdhr_120020220,1989,Heavy consumption
nhdhr_120020220,1990,Heavy consumption
nhdhr_120020220,1991,Heavy consumption
nhdhr_120020220,1992,Heavy consumption
nhdhr_120020220,1993,Heavy consumption
nhdhr_120020220,1994,Heavy consumption
nhdhr_120020220,1995,Heavy consumption
nhdhr_120020220,1996,Heavy consumption
nhdhr_120020220,1997,Heavy consumption
nhdhr_120020220,1998,Heavy consumption
nhdhr_120020220,1999,Heavy consumption
nhdhr_120020220,2000,Heavy consumption
nhdhr_120020220,2001,Heavy consumption
nhdhr_120020220,2002,Heavy consumption
nhdhr_120020220,2003,Heavy consumption
nhdhr_120020220,2004,Heavy consumption
nhdhr_120020220,2005,Heavy consumption
nhdhr_120020220,2006,Heavy consumption
nhdhr_120020220,2007,Heavy consumption
nhdhr_120020220,2008,Heavy consumption
nhdhr_120020220,2009,Heavy consumption
nhdhr_120020220,2010,Heavy consumption
nhdhr_120020220,2011,Heavy consumption
nhdhr_120020220,2012,Heavy consumption
nhdhr_120020220,2013,Heavy consumption
nhdhr_120020220,2014,Heavy consumption
nhdhr_120020220,2015,Heavy consumption
nhdhr_120020220,2016,Heavy consumption
nhdhr_120020220,2017,Heavy consumption
nhdhr_120020220,2018,Heavy consumption
nhdhr_120020225,1979,Heavy consumption
nhdhr_120020225,1980,Heavy consumption
nhdhr_120020225,1981,Heavy consumption
nhdhr_120020225,1982,Heavy consumption
nhdhr_120020225,1983,Heavy consumption
nhdhr_120020225,1984,Heavy consumption
nhdhr_120020225,1985,Heavy consumption
nhdhr_120020225,1986,Heavy consumption
nhdhr_120020225,1987,Heavy consumption
nhdhr_120020225,1988,Heavy consumption
nhdhr_120020225,1989,Heavy consumption
nhdhr_120020225,1990,Heavy consumption
nhdhr_120020225,1991,Heavy consumption
nhdhr_120020225,1992,Heavy consumption
nhdhr_120020225,1993,Heavy consumption
nhdhr_120020225,1994,Heavy consumption
nhdhr_120020225,1995,Heavy consumption
nhdhr_120020225,1996,Heavy consumption
nhdhr_120020225,1997,Heavy consumption
nhdhr_120020225,1998,Heavy consumption
nhdhr_120020225,1999,Heavy consumption
nhdhr_120020225,2000,Heavy consumption
nhdhr_120020225,2001,Heavy consumption
nhdhr_120020225,2002,Heavy consumption
nhdhr_120020225,2003,Heavy consumption
nhdhr_120020225,2004,Heavy consumption
nhdhr_120020225,2005,Heavy consumption
nhdhr_120020225,2006,Heavy consumption
nhdhr_120020225,2007,Heavy consumption
nhdhr_120020225,2008,Heavy consumption
nhdhr_120020225,2009,Heavy consumption
nhdhr_120020225,2010,Heavy consumption
nhdhr_120020225,2011,Heavy consumption
nhdhr_120020225,2012,Heavy consumption
nhdhr_120020225,2013,Heavy consumption
nhdhr_120020225,2014,Heavy consumption
nhdhr_120020225,2015,Heavy consumption
nhdhr_120020225,2016,Heavy consumption
nhdhr_120020225,2017,Heavy consumption
nhdhr_120020225,2018,Heavy consumption
nhdhr_120020226,1979,Heavy consumption
nhdhr_120020226,1980,Heavy consumption
nhdhr_120020226,1981,Heavy consumption
nhdhr_120020226,1982,Heavy consumption
nhdhr_120020226,1983,Heavy consumption
nhdhr_120020226,1984,Heavy consumption
nhdhr_120020226,1985,Heavy consumption
nhdhr_120020226,1986,Heavy consumption
nhdhr_120020226,1987,Heavy consumption
nhdhr_120020226,1988,Heavy consumption
nhdhr_120020226,1989,Heavy consumption
nhdhr_120020226,1990,Heavy consumption
nhdhr_120020226,1991,Heavy consumption
nhdhr_120020226,1992,Heavy consumption
nhdhr_120020226,1993,Heavy consumption
nhdhr_120020226,1994,Heavy consumption
nhdhr_120020226,1995,Heavy consumption
nhdhr_120020226,1996,Heavy consumption
nhdhr_120020226,1997,Heavy consumption
nhdhr_120020226,1998,Heavy consumption
nhdhr_120020226,1999,Heavy consumption
nhdhr_120020226,2000,Heavy consumption
nhdhr_120020226,2001,Heavy consumption
nhdhr_120020226,2002,Heavy consumption
nhdhr_120020226,2003,Heavy consumption
nhdhr_120020226,2004,Heavy consumption
nhdhr_120020226,2005,Heavy consumption
nhdhr_120020226,2006,Heavy consumption
nhdhr_120020226,2007,Heavy consumption
nhdhr_120020226,2008,Heavy consumption
nhdhr_120020226,2009,Heavy consumption
nhdhr_120020226,2010,Heavy consumption
nhdhr_120020226,2011,Heavy consumption
nhdhr_120020226,2012,Heavy consumption
nhdhr_120020226,2013,Heavy consumption
nhdhr_120020226,2014,Heavy consumption
nhdhr_120020226,2015,Heavy consumption
nhdhr_120020226,2016,Heavy consumption
nhdhr_120020226,2017,Heavy consumption
nhdhr_120020226,2018,Heavy consumption
nhdhr_120020235,1979,Heavy consumption
nhdhr_120020235,1980,Heavy consumption
nhdhr_120020235,1981,Heavy consumption
nhdhr_120020235,1982,Heavy consumption
nhdhr_120020235,1983,Heavy consumption
nhdhr_120020235,1984,Heavy consumption
nhdhr_120020235,1985,Heavy consumption
nhdhr_120020235,1986,Heavy consumption
nhdhr_120020235,1987,Heavy consumption
nhdhr_120020235,1988,Heavy consumption
nhdhr_120020235,1989,Heavy consumption
nhdhr_120020235,1990,Heavy consumption
nhdhr_120020235,1991,Heavy consumption
nhdhr_120020235,1992,Heavy consumption
nhdhr_120020235,1993,Heavy consumption
nhdhr_120020235,1994,Heavy consumption
nhdhr_120020235,1995,Heavy consumption
nhdhr_120020235,1996,Heavy consumption
nhdhr_120020235,1997,Heavy consumption
nhdhr_120020235,1998,Heavy consumption
nhdhr_120020235,1999,Heavy consumption
nhdhr_120020235,2000,Heavy consumption
nhdhr_120020235,2001,Heavy consumption
nhdhr_120020235,2002,Heavy consumption
nhdhr_120020235,2003,Heavy consumption
nhdhr_120020235,2004,Heavy consumption
nhdhr_120020235,2005,Heavy consumption
nhdhr_120020235,2006,Heavy consumption
nhdhr_120020235,2007,Heavy consumption
nhdhr_120020235,2008,Heavy consumption
nhdhr_120020235,2009,Heavy consumption
nhdhr_120020235,2010,Heavy consumption
nhdhr_120020235,2011,Heavy consumption
nhdhr_120020235,2012,Heavy consumption
nhdhr_120020235,2013,Heavy consumption
nhdhr_120020235,2014,Heavy consumption
nhdhr_120020235,2015,Heavy consumption
nhdhr_120020235,2016,Heavy consumption
nhdhr_120020235,2017,Heavy consumption
nhdhr_120020235,2018,Heavy consumption
nhdhr_120020236,1979,Heavy consumption
nhdhr_120020236,1980,Heavy consumption
nhdhr_120020236,1981,Heavy consumption
nhdhr_120020236,1982,Heavy consumption
nhdhr_120020236,1983,Heavy consumption
nhdhr_120020236,1984,Heavy consumption
nhdhr_120020236,1985,Heavy consumption
nhdhr_120020236,1986,Heavy consumption
nhdhr_120020236,1987,Heavy consumption
nhdhr_120020236,1988,Heavy consumption
nhdhr_120020236,1989,Heavy consumption
nhdhr_120020236,1990,Heavy consumption
nhdhr_120020236,1991,Heavy consumption
nhdhr_120020236,1992,Heavy consumption
nhdhr_120020236,1993,Heavy consumption
nhdhr_120020236,1994,Heavy consumption
nhdhr_120020236,1995,Heavy consumption
nhdhr_120020236,1996,Heavy consumption
nhdhr_120020236,1997,Heavy consumption
nhdhr_120020236,1998,Heavy consumption
nhdhr_120020236,1999,Heavy consumption
nhdhr_120020236,2000,Heavy consumption
nhdhr_120020236,2001,Heavy consumption
nhdhr_120020236,2002,Heavy consumption
nhdhr_120020236,2003,Heavy consumption
nhdhr_120020236,2004,Heavy consumption
nhdhr_120020236,2005,Heavy consumption
nhdhr_120020236,2006,Heavy consumption
nhdhr_120020236,2007,Heavy consumption
nhdhr_120020236,2008,Heavy consumption
nhdhr_120020236,2009,Heavy consumption
nhdhr_120020236,2010,Heavy consumption
nhdhr_120020236,2011,Heavy consumption
nhdhr_120020236,2012,Heavy consumption
nhdhr_120020236,2013,Heavy consumption
nhdhr_120020236,2014,Heavy consumption
nhdhr_120020236,2015,Heavy consumption
nhdhr_120020236,2016,Heavy consumption
nhdhr_120020236,2017,Heavy consumption
nhdhr_120020236,2018,Heavy consumption
nhdhr_120020240,1979,Heavy consumption
nhdhr_120020240,1980,Heavy consumption
nhdhr_120020240,1981,Heavy consumption
nhdhr_120020240,1982,Heavy consumption
nhdhr_120020240,1983,Heavy consumption
nhdhr_120020240,1984,Heavy consumption
nhdhr_120020240,1985,Heavy consumption
nhdhr_120020240,1986,Heavy consumption
nhdhr_120020240,1987,Heavy consumption
nhdhr_120020240,1988,Heavy consumption
nhdhr_120020240,1989,Heavy consumption
nhdhr_120020240,1990,Heavy consumption
nhdhr_120020240,1991,Heavy consumption
nhdhr_120020240,1992,Heavy consumption
nhdhr_120020240,1993,Heavy consumption
nhdhr_120020240,1994,Heavy consumption
nhdhr_120020240,1995,Heavy consumption
nhdhr_120020240,1996,Heavy consumption
nhdhr_120020240,1997,Heavy consumption
nhdhr_120020240,1998,Heavy consumption
nhdhr_120020240,1999,Heavy consumption
nhdhr_120020240,2000,Heavy consumption
nhdhr_120020240,2001,Heavy consumption
nhdhr_120020240,2002,Heavy consumption
nhdhr_120020240,2003,Heavy consumption
nhdhr_120020240,2004,Heavy consumption
nhdhr_120020240,2005,Heavy consumption
nhdhr_120020240,2006,Heavy consumption
nhdhr_120020240,2007,Heavy consumption
nhdhr_120020240,2008,Heavy consumption
nhdhr_120020240,2009,Heavy consumption
nhdhr_120020240,2010,Heavy consumption
nhdhr_120020240,2011,Heavy consumption
nhdhr_120020240,2012,Heavy consumption
nhdhr_120020240,2013,Heavy consumption
nhdhr_120020240,2014,Heavy consumption
nhdhr_120020240,2015,Heavy consumption
nhdhr_120020240,2016,Heavy consumption
nhdhr_120020240,2017,Heavy consumption
nhdhr_120020240,2018,Heavy consumption
nhdhr_120020242,1979,Heavy consumption
nhdhr_120020242,1980,Heavy consumption
nhdhr_120020242,1981,Heavy consumption
nhdhr_120020242,1982,Heavy consumption
nhdhr_120020242,1983,Heavy consumption
nhdhr_120020242,1984,Heavy consumption
nhdhr_120020242,1985,Heavy consumption
nhdhr_120020242,1986,Heavy consumption
nhdhr_120020242,1987,Heavy consumption
nhdhr_120020242,1988,Heavy consumption
nhdhr_120020242,1989,Heavy consumption
nhdhr_120020242,1990,Heavy consumption
nhdhr_120020242,1991,Heavy consumption
nhdhr_120020242,1992,Heavy consumption
nhdhr_120020242,1993,Heavy consumption
nhdhr_120020242,1994,Heavy consumption
nhdhr_120020242,1995,Heavy consumption
nhdhr_120020242,1996,Heavy consumption
nhdhr_120020242,1997,Heavy consumption
nhdhr_120020242,1998,Heavy consumption
nhdhr_120020242,1999,Heavy consumption
nhdhr_120020242,2000,Heavy consumption
nhdhr_120020242,2001,Heavy consumption
nhdhr_120020242,2002,Heavy consumption
nhdhr_120020242,2003,Heavy consumption
nhdhr_120020242,2004,Heavy consumption
nhdhr_120020242,2005,Heavy consumption
nhdhr_120020242,2006,Heavy consumption
nhdhr_120020242,2007,Heavy consumption
nhdhr_120020242,2008,Heavy consumption
nhdhr_120020242,2009,Heavy consumption
nhdhr_120020242,2010,Heavy consumption
nhdhr_120020242,2011,Heavy consumption
nhdhr_120020242,2012,Heavy consumption
nhdhr_120020242,2013,Heavy consumption
nhdhr_120020242,2014,Heavy consumption
nhdhr_120020242,2015,Heavy consumption
nhdhr_120020242,2016,Heavy consumption
nhdhr_120020242,2017,Heavy consumption
nhdhr_120020242,2018,Heavy consumption
nhdhr_120020245,1979,Heavy consumption
nhdhr_120020245,1980,Heavy consumption
nhdhr_120020245,1981,Heavy consumption
nhdhr_120020245,1982,Heavy consumption
nhdhr_120020245,1983,Heavy consumption
nhdhr_120020245,1984,Heavy consumption
nhdhr_120020245,1985,Heavy consumption
nhdhr_120020245,1986,Heavy consumption
nhdhr_120020245,1987,Heavy consumption
nhdhr_120020245,1988,Heavy consumption
nhdhr_120020245,1989,Heavy consumption
nhdhr_120020245,1990,Heavy consumption
nhdhr_120020245,1991,Heavy consumption
nhdhr_120020245,1992,Heavy consumption
nhdhr_120020245,1993,Heavy consumption
nhdhr_120020245,1994,Heavy consumption
nhdhr_120020245,1995,Heavy consumption
nhdhr_120020245,1996,Heavy consumption
nhdhr_120020245,1997,Heavy consumption
nhdhr_120020245,1998,Heavy consumption
nhdhr_120020245,1999,Heavy consumption
nhdhr_120020245,2000,Heavy consumption
nhdhr_120020245,2001,Heavy consumption
nhdhr_120020245,2002,Heavy consumption
nhdhr_120020245,2003,Heavy consumption
nhdhr_120020245,2004,Heavy consumption
nhdhr_120020245,2005,Heavy consumption
nhdhr_120020245,2006,Heavy consumption
nhdhr_120020245,2007,Heavy consumption
nhdhr_120020245,2008,Heavy consumption
nhdhr_120020245,2009,Heavy consumption
nhdhr_120020245,2010,Heavy consumption
nhdhr_120020245,2011,Heavy consumption
nhdhr_120020245,2012,Heavy consumption
nhdhr_120020245,2013,Heavy consumption
nhdhr_120020245,2014,Heavy consumption
nhdhr_120020245,2015,Heavy consumption
nhdhr_120020245,2016,Heavy consumption
nhdhr_120020245,2017,Heavy consumption
nhdhr_120020245,2018,Heavy consumption
nhdhr_120020246,1979,Heavy consumption
nhdhr_120020246,1980,Heavy consumption
nhdhr_120020246,1981,Heavy consumption
nhdhr_120020246,1982,Heavy consumption
nhdhr_120020246,1983,Heavy consumption
nhdhr_120020246,1984,Heavy consumption
nhdhr_120020246,1985,Heavy consumption
nhdhr_120020246,1986,Heavy consumption
nhdhr_120020246,1987,Heavy consumption
nhdhr_120020246,1988,Heavy consumption
nhdhr_120020246,1989,Heavy consumption
nhdhr_120020246,1990,Heavy consumption
nhdhr_120020246,1991,Heavy consumption
nhdhr_120020246,1992,Heavy consumption
nhdhr_120020246,1993,Heavy consumption
nhdhr_120020246,1994,Heavy consumption
nhdhr_120020246,1995,Heavy consumption
nhdhr_120020246,1996,Heavy consumption
nhdhr_120020246,1997,Heavy consumption
nhdhr_120020246,1998,Heavy consumption
nhdhr_120020246,1999,Heavy consumption
nhdhr_120020246,2000,Heavy consumption
nhdhr_120020246,2001,Heavy consumption
nhdhr_120020246,2002,Heavy consumption
nhdhr_120020246,2003,Heavy consumption
nhdhr_120020246,2004,Heavy consumption
nhdhr_120020246,2005,Heavy consumption
nhdhr_120020246,2006,Heavy consumption
nhdhr_120020246,2007,Heavy consumption
nhdhr_120020246,2008,Heavy consumption
nhdhr_120020246,2009,Heavy consumption
nhdhr_120020246,2010,Heavy consumption
nhdhr_120020246,2011,Heavy consumption
nhdhr_120020246,2012,Heavy consumption
nhdhr_120020246,2013,Heavy consumption
nhdhr_120020246,2014,Heavy consumption
nhdhr_120020246,2015,Heavy consumption
nhdhr_120020246,2016,Heavy consumption
nhdhr_120020246,2017,Heavy consumption
nhdhr_120020246,2018,Heavy consumption
nhdhr_120020250,1979,Heavy consumption
nhdhr_120020250,1980,Heavy consumption
nhdhr_120020250,1981,Heavy consumption
nhdhr_120020250,1982,Heavy consumption
nhdhr_120020250,1983,Heavy consumption
nhdhr_120020250,1984,Heavy consumption
nhdhr_120020250,1985,Heavy consumption
nhdhr_120020250,1986,Heavy consumption
nhdhr_120020250,1987,Heavy consumption
nhdhr_120020250,1988,Heavy consumption
nhdhr_120020250,1989,Heavy consumption
nhdhr_120020250,1990,Heavy consumption
nhdhr_120020250,1991,Heavy consumption
nhdhr_120020250,1992,Heavy consumption
nhdhr_120020250,1993,Heavy consumption
nhdhr_120020250,1994,Heavy consumption
nhdhr_120020250,1995,Heavy consumption
nhdhr_120020250,1996,Heavy consumption
nhdhr_120020250,1997,Heavy consumption
nhdhr_120020250,1998,Heavy consumption
nhdhr_120020250,1999,Heavy consumption
nhdhr_120020250,2000,Heavy consumption
nhdhr_120020250,2001,Heavy consumption
nhdhr_120020250,2002,Heavy consumption
nhdhr_120020250,2003,Heavy consumption
nhdhr_120020250,2004,Heavy consumption
nhdhr_120020250,2005,Heavy consumption
nhdhr_120020250,2006,Heavy consumption
nhdhr_120020250,2007,Heavy consumption
nhdhr_120020250,2008,Heavy consumption
nhdhr_120020250,2009,Heavy consumption
nhdhr_120020250,2010,Heavy consumption
nhdhr_120020250,2011,Heavy consumption
nhdhr_120020250,2012,Heavy consumption
nhdhr_120020250,2013,Heavy consumption
nhdhr_120020250,2014,Heavy consumption
nhdhr_120020250,2015,Heavy consumption
nhdhr_120020250,2016,Heavy consumption
nhdhr_120020250,2017,Heavy consumption
nhdhr_120020250,2018,Heavy consumption
nhdhr_120020307,1979,Heavy consumption
nhdhr_120020307,1980,Heavy consumption
nhdhr_120020307,1981,Heavy consumption
nhdhr_120020307,1982,Heavy consumption
nhdhr_120020307,1983,Heavy consumption
nhdhr_120020307,1984,Heavy consumption
nhdhr_120020307,1985,Heavy consumption
nhdhr_120020307,1986,Heavy consumption
nhdhr_120020307,1987,Heavy consumption
nhdhr_120020307,1988,Heavy consumption
nhdhr_120020307,1989,Heavy consumption
nhdhr_120020307,1990,Heavy consumption
nhdhr_120020307,1991,Heavy consumption
nhdhr_120020307,1992,Heavy consumption
nhdhr_120020307,1993,Heavy consumption
nhdhr_120020307,1994,Heavy consumption
nhdhr_120020307,1995,Heavy consumption
nhdhr_120020307,1996,Heavy consumption
nhdhr_120020307,1997,Heavy consumption
nhdhr_120020307,1998,Heavy consumption
nhdhr_120020307,1999,Heavy consumption
nhdhr_120020307,2000,Heavy consumption
nhdhr_120020307,2001,Heavy consumption
nhdhr_120020307,2002,Heavy consumption
nhdhr_120020307,2003,Heavy consumption
nhdhr_120020307,2004,Heavy consumption
nhdhr_120020307,2005,Heavy consumption
nhdhr_120020307,2006,Heavy consumption
nhdhr_120020307,2007,Heavy consumption
nhdhr_120020307,2008,Heavy consumption
nhdhr_120020307,2009,Heavy consumption
nhdhr_120020307,2010,Heavy consumption
nhdhr_120020307,2011,Heavy consumption
nhdhr_120020307,2012,Heavy consumption
nhdhr_120020307,2013,Heavy consumption
nhdhr_120020307,2014,Heavy consumption
nhdhr_120020307,2015,Heavy consumption
nhdhr_120020307,2016,Heavy consumption
nhdhr_120020307,2017,Heavy consumption
nhdhr_120020307,2018,Heavy consumption
nhdhr_120020334,1979,Heavy consumption
nhdhr_120020334,1980,Heavy consumption
nhdhr_120020334,1981,Heavy consumption
nhdhr_120020334,1982,Heavy consumption
nhdhr_120020334,1983,Heavy consumption
nhdhr_120020334,1984,Heavy consumption
nhdhr_120020334,1985,Heavy consumption
nhdhr_120020334,1986,Heavy consumption
nhdhr_120020334,1987,Heavy consumption
nhdhr_120020334,1988,Heavy consumption
nhdhr_120020334,1989,Heavy consumption
nhdhr_120020334,1990,Heavy consumption
nhdhr_120020334,1991,Heavy consumption
nhdhr_120020334,1992,Heavy consumption
nhdhr_120020334,1993,Heavy consumption
nhdhr_120020334,1994,Heavy consumption
nhdhr_120020334,1995,Heavy consumption
nhdhr_120020334,1996,Heavy consumption
nhdhr_120020334,1997,Heavy consumption
nhdhr_120020334,1998,Heavy consumption
nhdhr_120020334,1999,Heavy consumption
nhdhr_120020334,2000,Heavy consumption
nhdhr_120020334,2001,Heavy consumption
nhdhr_120020334,2002,Heavy consumption
nhdhr_120020334,2003,Heavy consumption
nhdhr_120020334,2004,Heavy consumption
nhdhr_120020334,2005,Heavy consumption
nhdhr_120020334,2006,Heavy consumption
nhdhr_120020334,2007,Heavy consumption
nhdhr_120020334,2008,Heavy consumption
nhdhr_120020334,2009,Heavy consumption
nhdhr_120020334,2010,Heavy consumption
nhdhr_120020334,2011,Heavy consumption
nhdhr_120020334,2012,Heavy consumption
nhdhr_120020334,2013,Heavy consumption
nhdhr_120020334,2014,Heavy consumption
nhdhr_120020334,2015,Heavy consumption
nhdhr_120020334,2016,Heavy consumption
nhdhr_120020334,2017,Heavy consumption
nhdhr_120020334,2018,Heavy consumption
nhdhr_120020342,1979,Heavy consumption
nhdhr_120020342,1980,Heavy consumption
nhdhr_120020342,1981,Heavy consumption
nhdhr_120020342,1982,Heavy consumption
nhdhr_120020342,1983,Heavy consumption
nhdhr_120020342,1984,Heavy consumption
nhdhr_120020342,1985,Heavy consumption
nhdhr_120020342,1986,Heavy consumption
nhdhr_120020342,1987,Heavy consumption
nhdhr_120020342,1988,Heavy consumption
nhdhr_120020342,1989,Heavy consumption
nhdhr_120020342,1990,Heavy consumption
nhdhr_120020342,1991,Heavy consumption
nhdhr_120020342,1992,Heavy consumption
